,Date,Open
306,"Jun 24, 2017","2,738.52"
307,"Jun 23, 2017","2,707.34"
308,"Jun 22, 2017","2,691.03"
309,"Jun 21, 2017","2,709.43"
310,"Jun 20, 2017","2,591.26"
311,"Jun 19, 2017","2,549.03"
312,"Jun 18, 2017","2,655.35"
313,"Jun 17, 2017","2,514.01"
314,"Jun 16, 2017","2,469.57"
315,"Jun 15, 2017","2,499.58"
316,"Jun 14, 2017","2,716.88"
317,"Jun 13, 2017","2,680.91"
318,"Jun 12, 2017","2,953.22"
319,"Jun 11, 2017","2,942.41"
320,"Jun 10, 2017","2,828.14"
321,"Jun 09, 2017","2,807.44"
322,"Jun 08, 2017","2,720.49"
323,"Jun 07, 2017","2,869.38"
324,"Jun 06, 2017","2,690.84"
325,"Jun 05, 2017","2,512.40"
326,"Jun 04, 2017","2,547.79"
327,"Jun 03, 2017","2,493.72"
328,"Jun 02, 2017","2,404.03"
329,"Jun 01, 2017","2,288.33"
330,"May 31, 2017","2,187.19"
331,"May 30, 2017","2,255.36"
332,"May 29, 2017","2,159.43"
333,"May 28, 2017","2,054.08"
334,"May 27, 2017","2,196.27"
335,"May 26, 2017","2,320.89"
336,"May 25, 2017","2,446.24"
337,"May 24, 2017","2,321.37"
338,"May 23, 2017","2,191.56"
339,"May 22, 2017","2,043.19"
340,"May 21, 2017","2,067.03"
341,"May 20, 2017","1,984.24"
342,"May 19, 2017","1,897.37"
343,"May 18, 2017","1,818.70"
344,"May 17, 2017","1,726.73"
345,"May 16, 2017","1,741.70"
346,"May 15, 2017","1,808.44"
347,"May 14, 2017","1,800.86"
348,"May 13, 2017","1,723.12"
349,"May 12, 2017","1,845.76"
350,"May 11, 2017","1,780.37"
351,"May 10, 2017","1,756.52"
352,"May 09, 2017","1,723.89"
353,"May 08, 2017","1,596.92"
354,"May 07, 2017","1,579.47"
355,"May 06, 2017","1,556.81"
356,"May 05, 2017","1,540.87"
357,"May 04, 2017","1,490.72"
358,"May 03, 2017","1,453.78"
359,"May 02, 2017","1,421.03"
360,"May 01, 2017","1,348.30"
361,"Apr 30, 2017","1,321.87"
362,"Apr 29, 2017","1,317.84"
363,"Apr 28, 2017","1,317.74"
364,"Apr 27, 2017","1,281.88"
365,"Apr 26, 2017","1,265.99"
366,"Apr 25, 2017","1,250.45"
367,"Apr 24, 2017","1,209.63"
368,"Apr 23, 2017","1,231.92"
369,"Apr 22, 2017","1,222.71"
370,"Apr 21, 2017","1,229.42"
371,"Apr 20, 2017","1,211.08"
372,"Apr 19, 2017","1,212.13"
373,"Apr 18, 2017","1,193.77"
374,"Apr 17, 2017","1,183.25"
375,"Apr 16, 2017","1,172.61"
376,"Apr 15, 2017","1,167.30"
377,"Apr 14, 2017","1,170.33"
378,"Apr 13, 2017","1,201.02"
379,"Apr 12, 2017","1,204.81"
380,"Apr 11, 2017","1,187.46"
381,"Apr 10, 2017","1,187.30"
382,"Apr 09, 2017","1,176.57"
383,"Apr 08, 2017","1,172.65"
384,"Apr 07, 2017","1,178.94"
385,"Apr 06, 2017","1,125.81"
386,"Apr 05, 2017","1,134.14"
387,"Apr 04, 2017","1,145.52"
388,"Apr 03, 2017","1,102.95"
389,"Apr 02, 2017","1,080.61"
390,"Apr 01, 2017","1,071.71"
391,"Mar 31, 2017","1,026.64"
392,"Mar 30, 2017","1,042.21"
393,"Mar 29, 2017","1,046.08"
394,"Mar 28, 2017","1,044.58"
395,"Mar 27, 2017",972.06
396,"Mar 26, 2017",974.02
397,"Mar 25, 2017",936.54
398,"Mar 24, 2017","1,038.45"
399,"Mar 23, 2017","1,050.05"
400,"Mar 22, 2017","1,120.65"
401,"Mar 21, 2017","1,055.36"
402,"Mar 20, 2017","1,037.24"
403,"Mar 19, 2017",976.73
404,"Mar 18, 2017","1,099.69"
405,"Mar 17, 2017","1,180.16"
406,"Mar 16, 2017","1,251.33"
407,"Mar 15, 2017","1,240.16"
408,"Mar 14, 2017","1,232.16"
409,"Mar 13, 2017","1,221.78"
410,"Mar 12, 2017","1,176.62"
411,"Mar 11, 2017","1,116.32"
412,"Mar 10, 2017","1,189.36"
413,"Mar 09, 2017","1,150.35"
414,"Mar 08, 2017","1,223.23"
415,"Mar 07, 2017","1,273.21"
416,"Mar 06, 2017","1,267.47"
417,"Mar 05, 2017","1,254.29"
418,"Mar 04, 2017","1,277.43"
419,"Mar 03, 2017","1,250.71"
420,"Mar 02, 2017","1,224.68"
421,"Mar 01, 2017","1,180.04"
422,"Feb 28, 2017","1,180.72"
423,"Feb 27, 2017","1,163.78"
424,"Feb 26, 2017","1,144.27"
425,"Feb 25, 2017","1,170.41"
426,"Feb 24, 2017","1,172.71"
427,"Feb 23, 2017","1,117.27"
428,"Feb 22, 2017","1,114.80"
429,"Feb 21, 2017","1,079.28"
430,"Feb 20, 2017","1,048.69"
431,"Feb 19, 2017","1,054.76"
432,"Feb 18, 2017","1,049.21"
433,"Feb 17, 2017","1,026.12"
434,"Feb 16, 2017","1,007.65"
435,"Feb 15, 2017","1,006.21"
436,"Feb 14, 2017",991.74
437,"Feb 13, 2017",998.89
438,"Feb 12, 2017","1,003.52"
439,"Feb 11, 2017",988.90
440,"Feb 10, 2017",995.63
441,"Feb 09, 2017","1,064.70"
442,"Feb 08, 2017","1,062.32"
443,"Feb 07, 2017","1,040.14"
444,"Feb 06, 2017","1,028.40"
445,"Feb 05, 2017","1,043.52"
446,"Feb 04, 2017","1,031.33"
447,"Feb 03, 2017","1,011.46"
448,"Feb 02, 2017",990.00
449,"Feb 01, 2017",970.94
450,"Jan 31, 2017",920.96
451,"Jan 30, 2017",920.15
452,"Jan 29, 2017",922.07
453,"Jan 28, 2017",919.81
454,"Jan 27, 2017",918.36
455,"Jan 26, 2017",902.40
456,"Jan 25, 2017",891.92
457,"Jan 24, 2017",910.68
458,"Jan 23, 2017",925.50
459,"Jan 22, 2017",922.21
460,"Jan 21, 2017",895.55
461,"Jan 20, 2017",898.17
462,"Jan 19, 2017",888.34
463,"Jan 18, 2017",909.37
464,"Jan 17, 2017",830.95
465,"Jan 16, 2017",821.78
466,"Jan 15, 2017",818.14
467,"Jan 14, 2017",825.14
468,"Jan 13, 2017",803.74
469,"Jan 12, 2017",775.18
470,"Jan 11, 2017",908.12
471,"Jan 10, 2017",902.44
472,"Jan 09, 2017",913.24
473,"Jan 08, 2017",908.18
474,"Jan 07, 2017",903.49
475,"Jan 06, 2017","1,014.24"
476,"Jan 05, 2017","1,156.73"
477,"Jan 04, 2017","1,044.40"
478,"Jan 03, 2017","1,021.60"
479,"Jan 02, 2017",998.62
480,"Jan 01, 2017",963.66
481,"Dec 31, 2016",960.63
482,"Dec 30, 2016",972.54
483,"Dec 29, 2016",975.13
484,"Dec 28, 2016",934.83
485,"Dec 27, 2016",908.35
486,"Dec 26, 2016",896.91
487,"Dec 25, 2016",899.65
488,"Dec 24, 2016",922.18
489,"Dec 23, 2016",864.89
490,"Dec 22, 2016",834.18
491,"Dec 21, 2016",800.64
492,"Dec 20, 2016",792.25
493,"Dec 19, 2016",790.69
494,"Dec 18, 2016",791.01
495,"Dec 17, 2016",785.17
496,"Dec 16, 2016",778.96
497,"Dec 15, 2016",780.07
498,"Dec 14, 2016",780.01
499,"Dec 13, 2016",780.65
500,"Dec 12, 2016",770.04
501,"Dec 11, 2016",774.75
502,"Dec 10, 2016",773.02
503,"Dec 09, 2016",769.94
504,"Dec 08, 2016",768.08
505,"Dec 07, 2016",764.21
506,"Dec 06, 2016",758.72
507,"Dec 05, 2016",773.39
508,"Dec 04, 2016",771.64
509,"Dec 03, 2016",778.25
510,"Dec 02, 2016",757.55
511,"Dec 01, 2016",746.05
512,"Nov 30, 2016",736.28
513,"Nov 29, 2016",736.33
514,"Nov 28, 2016",732.48
515,"Nov 27, 2016",735.44
516,"Nov 26, 2016",741.51
517,"Nov 25, 2016",740.44
518,"Nov 24, 2016",744.62
519,"Nov 23, 2016",751.74
520,"Nov 22, 2016",739.64
521,"Nov 21, 2016",731.27
522,"Nov 20, 2016",751.88
523,"Nov 19, 2016",751.83
524,"Nov 18, 2016",740.71
525,"Nov 17, 2016",744.88
526,"Nov 16, 2016",711.17
527,"Nov 15, 2016",705.79
528,"Nov 14, 2016",702.00
529,"Nov 13, 2016",705.20
530,"Nov 12, 2016",716.75
531,"Nov 11, 2016",715.56
532,"Nov 10, 2016",722.84
533,"Nov 09, 2016",709.83
534,"Nov 08, 2016",703.09
535,"Nov 07, 2016",710.74
536,"Nov 06, 2016",703.81
537,"Nov 05, 2016",703.53
538,"Nov 04, 2016",689.12
539,"Nov 03, 2016",742.35
540,"Nov 02, 2016",730.07
541,"Nov 01, 2016",701.34
542,"Oct 31, 2016",702.64
543,"Oct 30, 2016",714.12
544,"Oct 29, 2016",690.29
545,"Oct 28, 2016",688.00
546,"Oct 27, 2016",678.21
547,"Oct 26, 2016",657.68
548,"Oct 25, 2016",654.00
549,"Oct 24, 2016",657.16
550,"Oct 23, 2016",657.62
551,"Oct 22, 2016",633.14
552,"Oct 21, 2016",630.83
553,"Oct 20, 2016",630.66
554,"Oct 19, 2016",638.13
555,"Oct 18, 2016",639.41
556,"Oct 17, 2016",641.82
557,"Oct 16, 2016",639.08
558,"Oct 15, 2016",640.31
559,"Oct 14, 2016",637.01
560,"Oct 13, 2016",636.03
561,"Oct 12, 2016",640.87
562,"Oct 11, 2016",619.24
563,"Oct 10, 2016",616.82
564,"Oct 09, 2016",619.17
565,"Oct 08, 2016",617.34
566,"Oct 07, 2016",612.61
567,"Oct 06, 2016",612.47
568,"Oct 05, 2016",610.22
569,"Oct 04, 2016",612.05
570,"Oct 03, 2016",610.97
571,"Oct 02, 2016",613.95
572,"Oct 01, 2016",609.93
573,"Sep 30, 2016",605.72
574,"Sep 29, 2016",605.02
575,"Sep 28, 2016",606.24
576,"Sep 27, 2016",608.02
577,"Sep 26, 2016",600.81
578,"Sep 25, 2016",602.75
579,"Sep 24, 2016",602.96
580,"Sep 23, 2016",596.20
581,"Sep 22, 2016",597.28
582,"Sep 21, 2016",603.59
583,"Sep 20, 2016",609.25
584,"Sep 19, 2016",609.87
585,"Sep 18, 2016",606.28
586,"Sep 17, 2016",607.22
587,"Sep 16, 2016",607.25
588,"Sep 15, 2016",610.59
589,"Sep 14, 2016",608.84
590,"Sep 13, 2016",608.03
591,"Sep 12, 2016",607.01
592,"Sep 11, 2016",623.42
593,"Sep 10, 2016",622.93
594,"Sep 09, 2016",626.35
595,"Sep 08, 2016",614.64
596,"Sep 07, 2016",610.57
597,"Sep 06, 2016",606.51
598,"Sep 05, 2016",608.99
599,"Sep 04, 2016",598.59
600,"Sep 03, 2016",575.56
601,"Sep 02, 2016",572.41
602,"Sep 01, 2016",575.55
603,"Aug 31, 2016",577.59
604,"Aug 30, 2016",574.11
605,"Aug 29, 2016",574.07
606,"Aug 28, 2016",569.83
607,"Aug 27, 2016",579.45
608,"Aug 26, 2016",577.75
609,"Aug 25, 2016",580.18
610,"Aug 24, 2016",583.41
611,"Aug 23, 2016",586.77
612,"Aug 22, 2016",581.31
613,"Aug 21, 2016",581.94
614,"Aug 20, 2016",576.08
615,"Aug 19, 2016",574.34
616,"Aug 18, 2016",573.71
617,"Aug 17, 2016",577.76
618,"Aug 16, 2016",567.24
619,"Aug 15, 2016",570.49
620,"Aug 14, 2016",585.59
621,"Aug 13, 2016",587.36
622,"Aug 12, 2016",588.80
623,"Aug 11, 2016",592.12
624,"Aug 10, 2016",587.65
625,"Aug 09, 2016",591.04
626,"Aug 08, 2016",592.74
627,"Aug 07, 2016",587.77
628,"Aug 06, 2016",575.03
629,"Aug 05, 2016",578.28
630,"Aug 04, 2016",566.33
631,"Aug 03, 2016",548.66
632,"Aug 02, 2016",606.40
633,"Aug 01, 2016",624.60
634,"Jul 31, 2016",655.10
635,"Jul 30, 2016",657.01
636,"Jul 29, 2016",655.11
637,"Jul 28, 2016",654.49
638,"Jul 27, 2016",651.63
639,"Jul 26, 2016",654.23
640,"Jul 25, 2016",661.26
641,"Jul 24, 2016",655.41
